,name,time,tweet
46,Official Jack!,2019-11-17 09:22:27,Godswill Akpabio  while waiting for INEC declaration on Kogi West and recalling how outgoing Senator… 
47,Ata Ikiddeh,2019-11-16 23:10:36,"Akpabio Day 87

THE LAST FEW MONTHS HAVE BEEN THE BEST SEASON OF MY POLITICAL LIFE AND I CAN SEE GOD’S UNMISTAKABLE… "
48,Prof Essien,2019-11-16 23:05:17," 1 A very poor assessment of the picture.
Godswill akpabio is a very generous man who l… "
49,Ata Ikiddeh,2019-11-16 22:53:09,"Akpabio Day 87

THE LAST FEW MONTHS HAVE BEEN THE BEST SEASON OF MY POLITICAL LIFE AND I CAN SEE GOD’S UNMISTAKABLE… "
50,Abia Warriors FC,2019-11-16 14:29:38,"Scenes from our Match aganist _fc   at the Godswill Akpabio stadium, Uyo

FT- AKWA UNITED 0 Vs 0 ABIA WA… "
51,solarababa media,2019-11-16 13:58:08,"On Wednesday, Nigeria hosted the Squirrels of Benin Republic in the African Cup of Nations Qualifiers AFCON at the… "
52,Savn Daniel,2019-11-16 05:08:40,Senator Godswill Akpabio has said he will not stand in the rescheduled Akwa Ibom Northwest Senatorial District elec… 
53,Ishmael Rex,2019-11-16 03:00:42,_melaye Senator Godswill Akpabio is in the street of Abuja monitoring the outcome of the election. Don't be afraid.
54,Gambilo,2019-11-15 22:41:28,"""What money cannot do, more money will do.""

Godswill Akpabio"
55,Filius Hominis 😇,2019-11-15 19:46:43, Yea some ND states gave those stipends to Law School students. I know specifically about Aks under Godswil… 
56,Dodoh Okafor,2019-11-15 18:26:59,Godswill Akpabio’s Uncommon Dilemma 
57,Kent,2019-11-15 18:15:52,"Captured this at the Godswill Akpabio stadium in Uyo some days ago.
Shot with my  Spark 4
LightUp… "
58,Bello Ezekiel Adeyemi,2019-11-15 17:24:36,"Godswill Akpabio says he will not stand in rescheduled Akwa Ibom senatorial elections 

 
… "
59,Ayo Akinfe,2019-11-15 16:26:31,Godswill Akpabio says he will not stand in rescheduled Akwa Ibom senatorial elections 
60,Entertainmentf5,2019-11-15 15:55:03,[TheTrent] Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
61,neyopumpn,2019-11-15 15:19:04,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
62,Dodoh Okafor,2019-11-15 12:53:29,Godswill Akpabio’s Uncommon Dilemma 
63,solarababa media,2019-11-15 12:35:41,"Niger Delta Affairs Minister, Senator Godswill Akpabio and his party, the All Progressives Congress (APC) have thre… "
64,Unyime Usanga,2019-11-15 10:32:39,"Live cheering our eagles @ Godswill Akpabio International Stadium, Uyo "
65,Salihu Umar,2019-11-15 10:16:25,"Yahya Bello is APC’s Godswill Akpabio today, no one shares money in the villa like GYB, something Akpabio did durin… "
66,Akin Emmanuel,2019-11-15 06:38:46,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
67,The Trent,2019-11-15 06:20:32,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
68,Miss Cutie Obikwe,2019-11-15 06:20:32,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
69,Nigeria News Hub AK,2019-11-15 06:18:31,[TheTrent] Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
70,Achina 1st Son!,2019-11-15 01:34:09,Someone posted that the threat of boycott by Godswill Akpabio against his senatorial rerun election in Akwa-ibom st… 
71,nkpoikana ukpuho,2019-11-14 21:32:10,"About yesterday, at the Godswill Akpabio international stadium, Uyo. Indeed it was a superlative display of sleek p… "
72,Itoro Ime Noah,2019-11-14 21:23:47,"Akpabio ordered by HOR to correct his confusion:

""The House of Representatives yesterday ordered the Minister of N… "
73,Moonchild,2019-11-14 20:44:19,See ehn I’m going to flood the TL with photos of my trip to Uyo for the NGABEN AfconQ game. I know it’s latepost… 
74,Iniobong Udonne,2019-11-14 19:35:44,"It was live at Godswill akpabio stadium Uyo.
I was super excited about the super eagles victory!
13/11/2019 was the… "
75,Akwa Ibom First Lady Of Sport 💯,2019-11-14 17:32:55,"Akwa United 0:0 Abia Warriors 

Both sides struggled to break the deadlock as it ended 0:0 at Godswill Akpabio Int… "
76,Chris Arsene the Great,2019-11-14 17:00:24,Enjoyed the match at Godswill Akpabio Stadium with  and  
77,Abia Warriors FC,2019-11-14 16:56:47,"FT

The centre Referee has blown his whistle thrice to signal end of Proceedings here at the main bowl of the Godsw… "
78,Chris Arsene the Great,2019-11-14 16:53:14,"It is full time as the referee blast the whistle. 

From the Godswill Akpabio Stadium, 
It ends _fc 0 -… "
79,Nsidibe Akpan,2019-11-14 16:52:22,"FT' AKW 0-0 ABI

In a rather disappointing match, its goalless at the end of 90 minutes at the Godswill Akpabio Int… "
80,Adepoju Tobi Samuel,2019-11-14 16:39:35,"At the Godswill Akpabio Stadium, Uyo for Akwa Utd and Abia Warriors NPFL20 rescheduled game. Goalless affair here."
81,Kingsley Oyero #NoNutNovember,2019-11-14 16:14:57,Currently 0-0 between Akwa United and Abia Warriors at the Godswill Akpabio stadium here in Uyo. NPFL20 NPFL 
82,Abia Warriors FC,2019-11-14 15:54:15,"HT

The Centre Referee has blown his whistle for half time break.

Good game here at the main bowl of the Godswill… "
83,Peter Beny,2019-11-14 15:41:50,"NPFL20 

I'm on the stands  Akpabio stadium Uyo watching Akwa United Vs Abia Warriors. 

This doesn't loo… "
84,Mr. A k,2019-11-14 15:39:58,Congratulations to sen. Godswill akpabio
85,King 👑 of Motivation 🎙️,2019-11-14 15:35:36,"Apart from Super Eagles 🦅 defeating Nigeria ""Super Eagles 2 | Nigeria 1"" 😂,

Who else noticed the absurdity of Gods… "
86,Abia Warriors FC,2019-11-14 15:23:15,"20'

Twenty minutes of action inside the main bowl of the Godswill Akpabio stadium  and still a goalless situation.… "
87,Prof. O'rume,2019-11-14 15:11:52,"At the Godswill Akpabio stadium, SUPER EAGLES 2 - 1 NIGERIA 

🤣🤣🤣🤣🤣🤣🤣🤣"
88,Abia Warriors FC,2019-11-14 14:54:46,"Welcome to the Godswill Akpabio International stadium, Venue of Rescheduled Match Day 2 tie between Akwa United and… "
89,Chris Arsene the Great,2019-11-14 14:43:22,Live the Godswill Akpabio Stadium for the NPFL match between _fc and  
90,Akila Matawal,2019-11-14 14:13:49,_fc confirmed line up to face  at the Godswill Akpabio International Stadium this evening… 
91,"Obong Itata, Esq.",2019-11-14 14:02:52,"_02   No stadium in Nigeria is as good as the Godswill Akpabio stadium, Uyo.… "
92,Nsidibe Akpan,2019-11-14 13:57:21,"Just an hour to kickoff at the Godswill Akpabio International Stadium, Uyo.
_fc  vs  

Foll… "
93,ONTV NIGERIA,2019-11-14 13:30:16,"Samuel Kalu inspires Super Eagles turnaround against West African neighbours
Samuel Kalu was the match-winner as Ni… "
94,funny teeth,2019-11-14 13:22:03, From the Godswill Akpabio stadium super eagles 2 Nigeria 1
95,Zazingchi Murphy 🔌,2019-11-14 10:17:57,"The House of Representatives yesterday ordered the Minister of Niger Delta Affairs, Godswill Akpabio to dissolve th… "
96,Ayodeji Ismail,2019-11-14 09:37:32,Watch and thank me later. Displeasure over Poor NTA Coverage of Nigeria Vs Benin Afcon 2021 Qualifier @ Godswill Ak… 
97,Daily Trust,2019-11-14 09:35:37,"The House of Representatives yesterday ordered the Minister of Niger Delta Affairs, Godswill Akpabio to dissolve th… "
98,ADEDIRAN TAIWO,2019-11-14 09:03:45,"This is the Godswill Akpabio International Stadium; 
Super Eagles 2: Nigeria 1😂😂 "
99,Legit.ng,2019-11-14 08:16:07,Many spoke against the national TV station following some errors that took place during the live coverage of the Ni… 
100,Mfreke Akai,2019-11-14 08:07:10, _fc Then which one is Godswill Akpabio *Township* Stadium that you used earlier?
101,Seyi Makinde Jr.,2019-11-14 08:03:54," What money cannot do, more money will do.

Godswill Akpabio"
102,Ilemobayo isaac,2019-11-14 08:03:49,"The Super Eagles of Nigeria, the country’s national men’s football team, on Wednesday evening came from behind to d… "
103,Prince Joelsmith,2019-11-14 07:16:08,"At the Godswill Akpabio Stadium yesterday the commentator said ""Super Eagles 2 - 1 Nigeria"" ThisIsNigeria WeldonSIR"
104,Eyenidara Essien,2019-11-14 06:31:27, We hope to see some improvement in the next match. That was not an excellent performance at the Godsw… 
105,Daily Trust,2019-11-14 06:05:05,Nigerians on Twitter have berated the Nigerian Television Authority (NTA) for the alleged ‘poor live coverage’ of t… 
106,Daily Trust,2019-11-14 05:54:30,"The House of Representatives yesterday ordered the Minister of Niger Delta Affairs, Godswill Akpabio to dissolve th… "
107,Daily Trust,2019-11-14 05:41:17,Samuel Kalu was the match-winner as Nigeria overturned an early Stephane Sessegnon strike to defeat Benin 2-1 at th… 
108,I_ Em_ Sama,2019-11-14 00:51:45,"This mofo is even using him tongue speak 😂🤣🤦🏻‍♂️🙆‍♂️

At the Godswill Akpabio stadium 
Super eagles - 2,  Nigeria-… "
109,Daily Trust,2019-11-13 22:34:07,Nigerians on Twitter have berated the Nigerian Television Authority (NTA) for the alleged ‘poor live coverage’ of… 
110,Abia Warriors FC,2019-11-13 22:28:01, _fc The Stadium name is Godswill Akpabio stadium AKA Nest of Champions
111,eugene,2019-11-13 22:09:56,The Godswill Akpabio International Stadium✨ Team9jaStrong SoarSuperEagles NGABEN TotalAFCON2021Q ShameOnNTA 
112,Daily Trust,2019-11-13 22:05:06,"The House of Representatives has called on the Minister of Niger Delta Affairs, Godswill Akpabio to dissolve the t… "
113,Daily Trust,2019-11-13 20:29:05,"The  has called on the Minister of NigerDelta Affairs, Godswill Akpabio, to dissolve the three-man interi… "
114,Abia Warriors FC,2019-11-13 20:27:39,The team had their  light training session at the Godswill Akpabio Township Stadium this evening in readiness for t… 
115,Ayodeji Ismail,2019-11-13 20:19:00,NTA Poor Afcon Qualifying Match Coverage against Benin in Uyo @ Godswill Akpabio Stadium ::: Make I shut my Mouth b… 
116,IG:Wilson_richy,2019-11-13 19:57:22,"FT: 2-1
It ends here at the Godswill Akpabio Stadium, Uyo.
It is a winning start for us in this campaign.
NGABEN
AFCON2021Q"
117,Demikhay🔥,2019-11-13 19:57:10,"_odun  From the Godswill Akpabio int'l stadium, Super Eagles 2 Nigeria 1 🙄🤷🏽‍♂️😳😳😳😳😀😀😂😂"
118,Ikem Okuhu,2019-11-13 19:15:12,Godswill Akpabio sent me a LinkedIn connection request. 
119,Engineer Kowope,2019-11-13 18:58:01,Akwa United are training at the Godswill Akpabio Stadium ahead of tomorrow's rescheduled NPFL game against Abia Wa… 
