,name,time,tweet
0,Chiamaka Kathryn Nwakalor,2020-01-06 16:33:41,_Manie _doctor  Lolz she dey
1,Joe Manny,2020-01-06 16:09:15,_amakaa _doctor  I Love you too my dear sister. How is Dhicar na?
2,Chiamaka Kathryn Nwakalor,2020-01-06 15:04:47,_Manie _doctor  U no well
3,Joe Manny,2020-01-06 13:32:46,_amakaa _doctor  I agree with your laughter😁
4,ANELE EMMANUEL(young,2020-01-06 07:02:35,"_care Amaka will be the reason i will subscribe to  again, but if i am been charged arbitraril… "
5,Chiamaka Kathryn Nwakalor,2020-01-04 14:05:26,_Manie _doctor  🤣🤣🤣. Joe no well
6,Joe Manny,2020-01-04 14:00:35,_amakaa _doctor You want to go to Abuja you now enter bus that is going to Cameroon 
